tanggal,jenis_kejadian_bencana,kelurahan,kecamatan,wilayah,taksiran_kerugian,keterangan_jkb
2/21/2020,Penyelamatan,Kebon Kacang,Tanah Abang,Jakarta Pusat,0,Pengendalian Hewan
2/21/2020,Penyelamatan,Kelapa dua wetan,Ciracas,Jakarta Timur,0,Pengendalian Hewan
2/21/2020,Penyelamatan,Cipete Selatan,Cilandak,Jakarta Selatan,0,Pengendalian Hewan
2/21/2020,Penyelamatan,Grogol Utara,Kebayoran Lama,Jakarta Selatan,0,Penyelamatan Collapse Structure
2/21/2020,Bantuan Operasi,Pademangan Timur,Pademangan,Jakarta Utara,0,Kerja Bakti
2/21/2020,Kebakaran,Rorotan,Cilincing,Jakarta Utara,0,Bencana Kebakaran
2/21/2020,Kebakaran,Kayu Putih,Pulogadung,Jakarta Timur,"100,000",Bencana Kebakaran
2/21/2020,Kebakaran,Lubang Buaya,Cipayung,Jakarta Timur,0,Bencana Kebakaran
2/21/2020,Kebakaran,Duren Sawit,Duren Sawit,Jakarta Timur,"300,000,000",Bencana Kebakaran
2/21/2020,Kebakaran,Kampung Melayu,Jatinegara,Jakarta Timur,0,Bencana Kebakaran
2/21/2020,Bantuan Operasi,Gambir,Gambir,Jakarta Pusat,0,Bantuan Operasi Lainnya
2/21/2020,Bantuan Operasi,Gelora,Tanah Abang,Jakarta Pusat,0,Kesiagaan/Penjagaan
2/21/2020,Kebakaran,Pegangsaan Dua,Kelapa Gading,Jakarta Utara,0,Bencana Kebakaran
